TEvsOR    ²©ÞÄ:
0.275000	156.000000
0.350000	173.000000
0.333333	287.000000
0.266667	208.000000
0.350000	209.000000
0.275000	167.000000
0.750000	316.000000
0.250000	187.000000
0.275000	215.000000
0.266667	185.000000
0.333333	260.000000
0.266667	174.000000
0.266667	189.000000
0.333333	302.000000


TE dictator
0.150000	

Overlay dictator
80.000000	0.500000

ÒÅ´«Ëã·¨
0.266667	80.000000

	80.000000

TEvsOR    ²©ÞÄ:
0.233333	181.000000
0.400000	194.000000
0.400000	239.000000
0.366667	217.000000
0.266667	160.000000
0.633333	232.000000
0.500000	277.000000
0.266667	193.000000
0.366667	229.000000
0.366667	191.000000
0.325000	215.000000
0.500000	209.000000
0.500000	226.000000
0.500000	236.000000
0.500000	330.000000
0.366667	301.000000
0.500000	313.000000
0.266667	198.000000
0.460000	219.000000
0.400000	252.000000
0.460000	220.000000
0.766667	283.000000
0.300000	187.000000
0.633333	286.000000
0.266667	139.000000
0.633333	257.000000
0.266667	193.000000
0.366667	294.000000
0.266667	210.000000
0.266667	194.000000
0.460000	219.000000
0.400000	252.000000
0.460000	220.000000
0.766667	283.000000
0.300000	187.000000
0.633333	286.000000
0.266667	139.000000
0.633333	257.000000
0.266667	193.000000
0.366667	294.000000
0.266667	210.000000
0.266667	194.000000
0.460000	219.000000
0.400000	252.000000
0.460000	220.000000
0.766667	283.000000
0.300000	187.000000
0.633333	286.000000
0.266667	139.000000
0.633333	257.000000


TE dictator
0.233333	181.000000

Overlay dictator
85.000000	0.750000



0.366667	164.000000


0.450000	87.000000


TEvsOR    ²©ÞÄ:
0.150000	129.000000
0.320000	198.000000
0.200000	135.000000
0.300000	150.000000
0.333333	251.000000
0.200000	140.000000
0.300000	195.000000
0.260000	203.000000
0.325000	196.000000
0.340000	235.000000
0.200000	196.000000
0.466667	240.000000
0.200000	135.000000
0.325000	260.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000
0.200000	203.000000
0.466667	248.000000


TE dictator
0.150000	167.000000

Overlay dictator
80.000000	0.500000



ÒÅ´«Ëã·¨1
0.300000	143.000000

ÒÅ´«Ëã·¨2
0.400000	80.000000



TEvsOR    ²©ÞÄ:
0.200000	138.000000
0.300000	111.000000
0.475000	162.000000
0.375000	180.000000
0.300000	195.000000
0.233333	143.000000
0.300000	158.000000
0.333333	166.000000
0.300000	238.000000
0.333333	167.000000
0.333333	170.000000
0.233333	125.000000
0.400000	171.000000
0.433333	181.000000
0.266667	193.000000
0.266667	154.000000
0.400000	207.000000
0.433333	209.000000
0.333333	170.000000
0.566667	236.000000
0.333333	210.000000
0.266667	118.000000
0.366667	217.000000
0.266667	143.000000
0.400000	237.000000
0.300000	156.000000
0.400000	232.000000
0.475000	243.000000
0.400000	273.000000
0.375000	242.000000
0.266667	198.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
0.366667	174.000000
